Date, Name , Memo , Barclays 53895114 ,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 9,540.11 ",,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 3,566.90 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-21,PPE SECURITY LTD,ADVANTEDGE COMMERC    14455              BBP," 9,442.06 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-21,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435              BBP," 6,448.50 ",,,,,,,,,,,,,,,,,,,,,,,
16-Dec-21,PPE SECURITY LTD,ADVANTEDGE COMMERC    14632              BBP," 17,123.22 ",,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 11,692.80 ",,,,,,,,,,,,,,,,,,,,,,,
12-May-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    15017 BBP," 5,997.60 ",,,,,,,,,,,,,,,,,,,,,,,
20-May-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    15039 BBP," 2,822.40 ",,,,,,,,,,,,,,,,,,,,,,,
15-Jul-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    15225 BBP," 14,112.00 ",,,,,,,,,,,,,,,,,,,,,,,
22-Aug-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    GUAR001 BBP," 23,385.60 ",,,,,,,,,,,,,,,,,,,,,,,
30-Aug-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    GUAR001 BBP," 9,275.60 ",,,,,,,,,,,,,,,,,,,,,,,
31-Oct-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 14,397.60 ",,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 11,306.40 ",,,,,,,,,,,,,,,,,,,,,,,
